,bigram,counts
0,"('price', 'prediction')",3
2,"('machine', 'learning')",2
3,"('sentiment', 'analysis')",2
4,"('cryptocurrency', 'price')",2
5,"('cryptocurrency', 'exchange')",2
1,"('ethereum', 'price')",2
61,"('prediction', 'volatility')",1
70,"('time', 'series')",1
69,"('optimization', 'time')",1
68,"('ensemble', 'optimization')",1
67,"('walk-forward', 'ensemble')",1
66,"('hybrid', 'walk-forward')",1
65,"('novel', 'hybrid')",1
64,"('portfolio', 'novel')",1
63,"('cryptocurrency', 'portfolio')",1
62,"('volatility', 'cryptocurrency')",1
58,"('lstm-garch', 'hybrid')",1
60,"('model', 'prediction')",1
59,"('hybrid', 'model')",1
72,"('cryptocurrency', 'prediction')",1
57,"('framework', 'lstm-garch')",1
56,"('prediction', 'framework')",1
55,"('dl-based', 'cryptocurrency')",1
54,"('dlcp2f', 'dl-based')",1
53,"('forecasting', 'dlcp2f')",1
52,"('cryptocurrency', 'forecasting')",1
71,"('series', 'cryptocurrency')",1
74,"('breaking', 'bitcoin')",1
73,"('prediction', 'breaking')",1
50,"('ensemble', 'model')",1
93,"('news', 'effective')",1
92,"('analysis', 'news')",1
91,"('approach', 'sentiment')",1
90,"('learning-based', 'approach')",1
89,"('machine', 'learning-based')",1
88,"('tradeoperations', 'machine')",1
87,"('cryptocurrency', 'tradeoperations')",1
86,"('prediction', 'cryptocurrency')",1
85,"('signal', 'prediction')",1
84,"('exchange', 'signal')",1
83,"('outside', 'cryptocurrency')",1
82,"('activity', 'outside')",1
81,"('real', 'activity')",1
80,"('increased', 'real')",1
79,"('lead', 'increased')",1
78,"('activity', 'lead')",1
77,"('exchange', 'activity')",1
76,"('doe', 'cryptocurrency')",1
75,"('bitcoin', 'doe')",1
51,"('model', 'cryptocurrency')",1
47,"('cryptocurrencies', 'predictive')",1
49,"('power', 'ensemble')",1
48,"('predictive', 'power')",1
24,"('cryptocurrencies', 'using')",1
23,"('prediction', 'cryptocurrencies')",1
22,"('movement', 'prediction')",1
21,"('price', 'movement')",1
20,"('study', 'price')",1
19,"('comparative', 'study')",1
18,"('鈥', 'comparative')",1
17,"('technique', '鈥')",1
16,"('learning', 'technique')",1
15,"('using', 'machine')",1
14,"('prediction', 'using')",1
13,"('price', 'ethereum')",1
12,"('bitcoin', 'price')",1
11,"('volume', 'bitcoin')",1
10,"('price', 'volume')",1
9,"('relation', 'ethereum')",1
8,"('analysis', 'relation')",1
7,"('regression', 'analysis')",1
6,"('correlation', 'regression')",1
25,"('using', 'sentiment')",1
26,"('analysis', 'machine')",1
27,"('learning', 'cryptocurrency')",1
38,"('forecast', 'closing')",1
46,"('xrp', 'cryptocurrencies')",1
45,"('ethereum,', 'xrp')",1
44,"('dogecoin,', 'ethereum,')",1
43,"('cardano,', 'dogecoin,')",1
42,"('bionic,', 'cardano,')",1
41,"('bitcoin,', 'bionic,')",1
40,"('price', 'bitcoin,')",1
39,"('closing', 'price')",1
37,"('approach', 'forecast')",1
28,"('cryptocurrency', 'return')",1
36,"('system', 'approach')",1
35,"('grey', 'system')",1
34,"('new', 'grey')",1
33,"('analysis', 'new')",1
32,"('time-frequency', 'analysis')",1
31,"('uncertainty', 'time-frequency')",1
30,"('cryptocurrency', 'uncertainty')",1
29,"('return', 'cryptocurrency')",1
94,"('effective', 'cryptocurrency')",1
